chars	n	wt
ADAMA:	110	0.113871635610766
ROSLIN:	95	0.098343685300207
STARBUCK:	77	0.0797101449275362
APOLLO:	72	0.0745341614906832
BALTAR:	65	0.067287784679089
TIGH:	56	0.0579710144927536
TYROL:	55	0.056935817805383
BOOMER:	54	0.0559006211180124
6:	45	0.046583850931677
DUALLA:	31	0.0320910973084886
HELO:	29	0.0300207039337474
HADRIAN:	28	0.0289855072463768
CRASHDOWN:	25	0.025879917184265
GAETA:	25	0.025879917184265
ZAREK:	20	0.020703933747412
BILLY:	19	0.0196687370600414
ELLEN:	13	0.0134575569358178
SOCINUS:	13	0.0134575569358178
MAN:	12	0.0124223602484472
NARRATOR:	11	0.0113871635610766
CALLY:	10	0.010351966873706
MCMANUS:	10	0.010351966873706
LEOBEN:	9	0.0093167701863354
DORAL:	6	0.0062111801242236
ELOSHA:	6	0.0062111801242236
CLERIC:	5	0.005175983436853
PILOT:	5	0.005175983436853
GRIMES:	4	0.0041407867494824
CAPTAIN:	3	0.0031055900621118
GUARD:	3	0.0031055900621118
JAMMER:	3	0.0031055900621118
KAT:	3	0.0031055900621118
MASON:	3	0.0031055900621118
PILOTS:	3	0.0031055900621118
WILKENS:	3	0.0031055900621118
ZAK:	3	0.0031055900621118
ALL:	2	0.0020703933747412
GRAY:	2	0.0020703933747412
LSO:	2	0.0020703933747412
MARINE:	2	0.0020703933747412
PALACIOS:	2	0.0020703933747412
PRISONER:	2	0.0020703933747412
REPEAT:	2	0.0020703933747412
SEABORNE:	2	0.0020703933747412
CARTMAN:	1	0.0010351966873706
CHUCKLES:	1	0.0010351966873706
COSTANZA:	1	0.0010351966873706
DAVE:	1	0.0010351966873706
DECKHAND:	1	0.0010351966873706
DISPATCHER:	1	0.0010351966873706
ECO:	1	0.0010351966873706
FELIX:	1	0.0010351966873706
HAMILTON:	1	0.0010351966873706
MYSON:	1	0.0010351966873706
OFFICER:	1	0.0010351966873706
PRISONERS:	1	0.0010351966873706
SAM:	1	0.0010351966873706
SPEAKER:	1	0.0010351966873706
VALANCE:	1	0.0010351966873706
WOMAN:	1	0.0010351966873706
