effect	n
[adama groans]	1
[adama sighs]	2
[aircraft engine revving]	1
[airplanes rumbling]	1
[alarm beeping]	1
[alarm blaring]	14
[alarm buzzing]	1
[alarm continues beeping]	1
[alarm continues blaring]	1
[alarm ringing]	1
[alarm sounding]	3
[all applauding]	5
[all chanting]	1
[all chattering]	4
[all cheering and clapping]	1
[all cheering]	3
[all chuckle]	1
[all clamoring]	2
[all clapping]	2
[all coughing]	1
[all grunting]	1
[all murmuring]	1
[all muttering]	1
[all screaming]	1
[all talking]	1
[anders sighs]	1
[apollo clears throat]	1
[apollo groaning in pain]	1
[apollo grunts]	2
[apollo laughing]	2
[apollo panting]	1
[apollo scoffs]	1
[apollo screaming]	1
[apollo sighs]	2
[apollo whooping]	1
[ball bouncing]	1
[baltar's zipper opening]	1
[baltar coughing]	1
[baltar coughs]	1
[baltar exclaiming in wonder]	1
[baltar exclaims in pain]	1
[baltar exclaims]	1
[baltar loudly clearing his throat]	1
[baltar moaning in pleasure]	1
[baltar sighs heavily]	1
[baltar sniffling]	1
[baltar stuttering]	1
[beeping continues]	1
[beeping intensifies]	1
[beeping]	19
[beeps]	1
[billy sighs dejectedly]	1
[birds calling]	1
[birds chirping]	3
[birds screeching]	1
[boomer chuckling]	1
[boomer continues screaming]	1
[boomer coughing]	1
[boomer groaning]	1
[boomer groans]	1
[boomer grunting]	2
[boomer humming]	1
[boomer screaming]	1
[boomer sobbing]	2
[boomer tapping foot]	1
[both exclaiming]	1
[both gasping]	1
[both grunting]	7
[both laughing heartily]	1
[both laughing]	2
[both moaning]	1
[both panting]	3
[both whispering]	1
[bottle shattering]	1
[breathing heavily]	5
[bullets whistling]	1
[buzzing]	1
[cally gasping]	2
[cally panting]	1
[cally screams]	1
[cally sobbing]	2
[cally sobs]	1
[cameras clicking]	1
[cardiograph beeping]	1
[cell door opening]	2
[cell door shuts]	1
[cell lock clacking]	1
[chains jangling]	1
[chains rattling]	1
[chanting]	1
[chattering on radio]	1
[chattering]	3
[cheering]	1
[chilling instrumental music]	2
[chirping]	2
[choking]	2
[chuckles]	6
[chuckling]	6
[cigar cutter clicks]	1
[clanking]	1
[clattering]	1
[clearing throat]	1
[clears throat]	8
[clicking]	1
[clicks]	1
[climactic instrumental music]	5
[clock ticking]	5
[coins rattling]	2
[comical instrumental music]	2
[computer beeping]	2
[continues panting]	1
[coughing]	3
[coughs]	4
[cracking]	3
[crashing]	2
[crew applauding]	1
[crew chattering]	1
[crew cheering]	2
[crewman specialist socinus continues wheezing]	1
[crowd chattering]	1
[crowd mutters in disbelie]	1
[crying]	6
[door bangs shut]	2
[door clanging]	2
[door closes]	7
[door closing]	4
[door creaking]	2
[door opening]	5
[door opens]	5
[door shuts]	4
[door slamming]	2
[door slams shut]	1
[doorbell rings]	1
[dramatic instrumental music intensifies]	1
[dramatic instrumental music]	28
[dripping]	1
[dualla exhaling]	1
[ecg machine beeping]	3
[ecg machine flatlining]	1
[eerie instrumental music]	7
[electricity buzzes]	1
[electricity buzzing]	1
[electronic beeping]	12
[electronic buzzing]	1
[electronic crackling]	1
[ellen and tigh laughing hysterically]	1
[ellen and tigh laughing]	1
[ellen clears throat]	1
[ellen crying]	1
[ellen exclaims contentedly]	1
[ellen gagging]	1
[ellen giggles pretentiously]	1
[ellen giggles]	1
[ellen laughing alluringly]	1
[ellen laughing mischievously]	1
[ellen laughing]	2
[ellen sighing]	1
[ellen sighs heavily]	1
[ellen sighs]	1
[engine starts]	1
[engine whirring loudly]	1
[engine whirring]	1
[engines shutting down]	1
[engines whining]	1
[entrance opens and shuts]	1
[ethereal music]	1
[exclaiming in despair]	1
[exclaiming in exasperation]	1
[exclaiming in pain]	1
[exclaiming in relie]	1
[exclaiming]	3
[exclaims]	3
[exhales]	1
[exhaling]	3
[explosion]	2
[explosions]	1
[explosive rumbling]	1
[farting noise]	1
[fast-paced instrumental music continues]	1
[fast-paced instrumental music]	4
[firing]	1
[flyboy whooping]	1
[footsteps approaching]	1
[footsteps echoing]	1
[footsteps thudding]	1
[gagging]	1
[gags]	1
[gasping and choking]	1
[gasping]	19
[gasps]	9
[gate clanking]	1
[gate closes]	1
[gate closing]	1
[gate opening]	2
[giggling mischievously]	1
[giggling]	2
[glass shattering]	2
[glasses clinking]	1
[grave instrumental music]	2
[gravel pounding]	1
[gripping instrumental music]	3
[groaning and grunting]	1
[groaning]	15
[groans]	13
[grunting]	10
[grunts]	11
[guard]	1
[gun clicking]	1
[gun clicks]	2
[gun cocking]	5
[gun fires]	5
[gun firing continues]	1
[gun firing]	14
[guns clicking]	1
[guns cocking]	2
[guns continue firing]	3
[guns firing]	12
